temperature,humidity,moisture,nitrogen,potassium,phosphorus,label
37.3,60.9,46.5,93.1,57.4,19.7,Healthy
27.4,49.4,38.8,71.6,17.6,49.2,Diseased
21.2,49.5,34.3,36.2,66.5,14.2,Healthy
21.9,70.3,30.4,55.3,61.9,11,Healthy
26.8,45.9,59.5,74.4,48,34.6,Healthy
29.5,82.8,52.3,18.8,69.1,12.5,Diseased
33.9,40.6,25.7,89.5,49.9,32,Diseased
27.4,78,50,65.1,28.2,34.2,Healthy
33,65.9,37,87.2,54.6,21.3,Healthy
29.8,74.7,26.1,58.6,63.7,40.8,Diseased
24.7,64.8,35,47.2,14.9,25.5,Diseased
22.2,57.8,61.9,90.1,50.9,19.1,Diseased
39.3,55.6,38.3,66.4,29.3,7.2,Diseased
25.4,86,63.7,24.5,75.5,45.4,Diseased
36.5,64.7,47.3,38.3,48.2,46.7,Healthy
30.5,62.1,59.3,67.4,37.4,46.7,Healthy
27.5,53.2,27.7,74.5,54.9,11.3,Diseased
32.6,73.9,47.2,81.5,23,13.4,Healthy
35.9,51.1,39,64.5,80,45.4,Healthy
29.7,58.4,30.5,79.9,56.2,34.3,Healthy
30.1,68.5,43,26.6,68.1,35.5,Diseased
39.7,54.8,66.7,65.8,70.4,18.4,Diseased
37.9,71.7,41.4,54.8,58.4,9.7,Diseased
31,77.4,25.8,39.3,68.5,34.9,Diseased
39.1,53,27.5,52.8,47.4,49,Diseased
34.5,85.3,37.6,28.3,66.4,9.1,Diseased
37.9,80.7,55.7,95.5,53.2,40.1,Healthy
33.5,66.7,57.2,18.8,41.7,9.2,Diseased
26.4,49.6,41.4,67.9,38,30.6,Healthy
31.9,87,69.7,84.4,72.9,48.8,Diseased
33.4,83,32.5,44.9,24.6,42.2,Healthy
33.5,85,65.5,80.1,40.8,37.3,Diseased
24.8,83.3,62.1,21,51.5,35.9,Diseased
28.4,72.2,52.2,61.4,80,35,Healthy
27.6,59.7,50.9,63.8,19.7,45.1,Diseased
37.5,64.3,40.8,42.9,59.4,23.6,Healthy
33.6,43.3,38,34.8,31.3,13.4,Healthy
26.1,72.4,38.8,68.8,54.9,19,Healthy
32.4,49.8,46.6,55.9,20.5,26.4,Healthy
33.4,86.5,65.7,93.1,24,34,Diseased
25,68,65.1,40.9,41.2,41,Diseased
22.3,51.9,29,32.9,15,48.7,Diseased
31.2,83.4,42.3,55.7,26.1,30.3,Healthy
38.8,45.3,45.2,54.6,60.5,37.7,Healthy
38.2,59,33.2,77.8,21.8,25.9,Healthy
33.2,40.9,41.7,71.7,52.2,36.7,Healthy
38.2,78.2,64.3,54.7,20.8,40.8,Diseased
37.2,65,28.9,55.3,10.6,21,Diseased
36.8,72.1,67.8,59.4,29.9,49.2,Diseased
27.5,85.9,36.4,32.6,29.6,28.2,Healthy
28.7,49.6,62.3,27.7,54.9,24.7,Diseased
32.8,80.2,69.5,66.8,41.2,12.4,Diseased
30.3,42.8,60,63.3,50.4,24.8,Healthy
25.9,78.8,30.4,40.6,22,15.2,Healthy
27.5,47.4,26.9,69.7,63.3,27,Diseased
30.1,81.1,68.8,54.9,23.7,12.8,Diseased
32.7,44,63.1,19.2,53.7,45.4,Diseased
23.3,86.4,63.4,39.3,65.1,19.1,Diseased
35.5,42.6,48.2,79.3,13.5,40.6,Diseased
36.8,87.5,67.8,11.2,37.1,43.5,Diseased
29.6,46,53.8,26.7,34.2,11.6,Diseased
21.3,56.3,52.5,42.4,31.4,40,Healthy
24,68.8,59.2,90.4,63.2,28.4,Healthy
28.5,44.2,22.4,44.7,55.9,6.1,Diseased
33.1,87.2,45.5,12,23.1,44.8,Diseased
34.4,44.4,37.5,11.1,14.1,30.9,Diseased
23.1,70.1,63.6,31,58.4,18.8,Diseased
33,56.4,46.1,26.7,45.4,40.1,Diseased
32.9,83.5,31.8,92,69.7,10.5,Healthy
21,79.1,62,14.5,24.3,18.5,Diseased
32.8,46.2,27.2,38.8,46.6,27.3,Diseased
20.1,71.1,52.1,35.5,58.7,42.1,Healthy
38.6,68.9,34.8,71.9,26.4,8.7,Diseased
23.1,63,58.1,91.2,61.2,40.5,Healthy
31.4,81.7,37.3,59,50.1,41,Healthy
25.1,40.9,60,65.8,41.7,20.8,Healthy
24.4,44.2,68.4,99.1,61.6,9.5,Diseased
23.6,56.9,47.8,49.6,71.7,8.5,Diseased
31.4,77,24.6,19,31.7,32.8,Diseased
33.2,54.7,63.4,22.3,28.2,36.2,Diseased
21.4,46.6,40.5,53.6,63.9,26.5,Healthy
38.8,60.8,23.6,15,46.7,25.4,Diseased
21.1,63.9,48.2,81.6,41.8,40.5,Healthy
35,43.7,59.8,38.7,34.5,32.2,Healthy
23.8,88.5,28.7,25.4,13.9,40.6,Diseased
31.5,57.7,39.9,44.6,17.4,24,Diseased
38.6,68.9,28.3,77.5,40,13.5,Diseased
29.9,46,58.3,72.7,60.8,12.5,Healthy
30.8,70.4,52.2,67.9,21.6,20.8,Healthy
31.2,51.2,35.6,92.4,52.6,25.2,Healthy
38.1,61,31.9,98.2,74.4,26.3,Healthy
24.1,45.2,43.9,52.5,22.1,12,Healthy
34.3,62.7,62.3,18.7,64.4,24.1,Diseased
34.4,45.2,66,47.4,78.3,20.4,Diseased
32.4,72.9,35.3,73.1,46.9,18.4,Healthy
38.5,78.5,24.2,96.9,41.3,7.4,Diseased
34.9,71.8,37.9,49,40.1,36.6,Healthy
22.3,52.2,63.1,82.2,75,39.6,Diseased
21,64.5,53.8,76.4,44.9,11.2,Healthy
27,82.9,37.4,23.6,35,24.3,Diseased
30.8,86.4,68.5,75.5,65.6,5.4,Diseased
34.8,40,32.5,14.2,33.7,43.2,Diseased
34.2,84.4,44.8,39.1,14.8,42.5,Diseased
34.5,62.5,60,64.1,76,36.8,Healthy
32.5,42.5,64.4,83.2,14.4,12,Diseased
27,84.9,56.5,56.3,27.1,11,Healthy
33.5,80.8,44.7,11.8,68,44.2,Diseased
25.2,40.6,37.4,37.4,21.2,7.8,Diseased
23,61.4,53.3,57.6,15.7,13.2,Diseased
39.9,74,58.3,93,41.9,23.6,Healthy
25.2,72.1,63.2,92.6,23.9,41.2,Diseased
27.3,82.6,40.7,26.3,49.2,40.8,Diseased
32.2,40.2,27.3,84.2,64.8,8.3,Diseased
27.8,51,57.9,55.6,25,31.4,Healthy
27.8,72.2,54.4,71.3,52.5,43.4,Healthy
20.3,89.2,34.5,46.2,48.1,11.7,Healthy
35,49.5,31.8,95.5,62.8,42.7,Healthy
32.5,44,21.1,46.8,24.6,27.9,Diseased
39.3,41.5,68.9,14.3,45.1,38.3,Diseased
25.7,55.7,22.1,41,51.5,16.1,Diseased
38.9,67.2,26,67.9,65.6,43.2,Diseased
37.4,77.1,21.6,53.7,14.4,16.8,Diseased
36.3,68.9,43.9,84.2,13,9.2,Diseased
36.6,58.5,51.8,51.6,29.6,29.5,Healthy
31.6,51.8,45,73.2,67.1,35.5,Healthy
34.7,86.1,28.4,76.1,26.5,13.8,Diseased
34.8,81.5,30.8,96.3,16.9,28.1,Diseased
37.8,78.5,54.7,32.5,73.8,5.5,Diseased
34,65.1,53.4,88.2,21.3,48.8,Healthy
37.1,44.3,37.4,46.5,24.1,30.2,Healthy
32.4,67.4,65.6,49.2,72.3,38.6,Diseased
23.8,60.2,57.4,47.6,35.9,25.9,Healthy
28.9,79.1,43.3,36.4,68,26.3,Healthy
35.1,71.9,62.3,61.8,33.8,36.1,Diseased
36.9,77.4,21,77,23,30.2,Diseased
24.3,51.2,36.4,50,56.5,16.1,Healthy
29.8,74.2,28.1,22.3,53.8,28.9,Diseased
22.6,62.7,64.2,40.4,66.9,49.6,Diseased
30.7,54.7,25.4,17.2,38.7,23.3,Diseased
26.1,68.8,25.3,80.3,56.4,23.3,Diseased
33.8,48.3,51.2,31.3,56.5,13.4,Healthy
32.6,68.7,26.5,63,16.4,33.8,Diseased
39,42.5,64.4,12.6,20.5,44.6,Diseased
34.6,61.2,23.7,70.3,35.6,17.7,Diseased
34.8,73.2,40.2,34.4,68.7,46,Healthy
32.9,55.9,36.1,49.1,72,23.1,Healthy
27.7,62,36.6,80.9,51.5,48,Healthy
34.2,89.3,59.3,25.1,40.4,40.1,Diseased
25.4,84.6,42,86.5,51,14,Healthy
20.1,85.4,39.2,56.3,79.2,23.4,Healthy
20.3,59.1,37.6,12,78.6,7.5,Diseased
22.3,60.8,32.1,15.7,30.1,22.8,Diseased
37.6,40.5,33,92.1,62.4,20.6,Healthy
23.4,45.8,38,86.3,70.6,30,Healthy
26.4,82.9,36.8,55.8,25.8,6.4,Diseased
36.5,52.7,56.5,35.7,38.9,14.6,Healthy
33.2,79.9,67,12.9,15.5,26.1,Diseased
26.5,62.6,24.2,26.9,48.4,27.2,Diseased
27.1,49,45.1,68.4,10.5,14.7,Diseased
36.2,69.7,56.5,15.6,48.8,8,Diseased
38.6,44.8,44.9,24.2,68.5,32.7,Diseased
26.6,43,49.6,71.8,56.9,10.6,Healthy
23,51.4,52.1,43.3,67.7,8.3,Diseased
38.3,45.8,27,12,34.3,17.7,Diseased
25.7,55,61.1,99.8,29.4,44.2,Diseased
33,47.8,44.3,97.1,71.4,40.5,Healthy
29.3,59,21.5,71.6,50.6,27.6,Diseased
35.9,43.9,30.7,27,35.2,21.3,Diseased
22.4,57.3,28.6,32.2,69.2,22.1,Diseased
20.9,66.5,21.7,73.5,66.9,19.3,Diseased
21.7,54.4,39.2,43.5,64.6,41,Healthy
22.3,75.7,36.3,93.9,60.7,18.7,Healthy
36.7,58.5,40.2,61.4,50,48.3,Healthy
21.7,64.4,31.4,28.1,22.4,42.7,Diseased
39.5,85.1,21.6,75.8,24.4,15.8,Diseased
35.2,67.5,64.2,20.4,32.1,43.2,Diseased
24.9,70.5,68.3,90.4,53.6,42.6,Diseased
24.3,75,54.1,62.7,74.7,24.4,Healthy
27.5,50,51.3,88.1,76.1,23,Healthy
30.9,53.4,26.8,27.6,77,21.6,Diseased
34.9,53.7,50,56.9,68.3,38.9,Healthy
37.1,40.1,28.7,50.2,37.9,23.1,Diseased
29.1,43,52.7,50.9,17.5,37.9,Diseased
22.5,44.2,31,87.6,10.8,30.8,Diseased
39.6,40.7,38.4,16.2,62.3,29.2,Diseased
28.2,73.7,22.8,47.1,16.2,39.9,Diseased
20.1,60,44.7,32.8,41.3,37.2,Healthy
33.9,72.7,66,74.5,58.8,12.2,Diseased
35.8,48.1,36.3,87.8,46.2,45.9,Healthy
29.9,83,22.1,39.6,79.3,5.7,Diseased
33.6,41.2,56.6,57.1,34.2,46.9,Healthy
33.6,41.4,37.7,17.3,19,34.8,Diseased
37.7,53.5,44.6,87.6,47.3,29,Healthy
36.3,58.4,42.5,34.9,33.1,8.6,Diseased
27.6,59.2,23,38,55.3,8.8,Diseased
23,61.2,50,17.1,43.8,29,Diseased
38.9,49.6,47.7,64.5,46.1,42.6,Healthy
31.1,88.5,68.5,35.1,20.2,12.6,Diseased
29.8,40.6,46.2,21.5,70.6,41.5,Diseased
38.8,79.6,48.8,27.5,18.1,9.8,Diseased
23.1,77.8,49.6,50.6,24.4,40.4,Healthy
31.7,67.8,38.2,40.4,67.5,37.7,Healthy
26.1,66.9,33.8,97.6,60.4,11.2,Healthy
24,84.2,40.6,55.5,17.8,40.4,Diseased
33.4,89.2,67,35.1,13.9,20.8,Diseased
35.7,51.5,59.3,25.8,17.4,11,Diseased
26.1,40.9,34.4,50.5,32.4,45.1,Healthy
20.6,74.5,36.5,74.9,38,28.5,Healthy
36,61.9,49.5,39.4,69.3,22.4,Healthy
28.2,86,61.4,11.6,25.8,42.4,Diseased
29.9,74.6,20.8,44.2,24.6,29.6,Diseased
39.1,62.9,20.1,16.2,12.4,10.2,Diseased
37.4,52.3,48.6,89.3,64.6,31.8,Healthy
33.7,64.1,35.1,79.2,15.6,14.9,Diseased
25.4,46.6,66.8,99.1,68.1,16.2,Diseased
21.6,70.7,28.5,43.1,78.1,22.6,Diseased
23.9,40.2,44.8,40.5,55,28.4,Healthy
30.8,77.6,42.4,33.7,59.6,9.8,Diseased
24.1,80.5,41.4,43.3,33.3,12,Healthy
28,47.8,39.9,60.9,26.2,41.1,Healthy
37.4,50,41,89.3,66.8,21.4,Healthy
25.4,87.5,34.8,99.9,70.7,10.9,Healthy
27.9,86.5,28.6,79.6,22.2,42.4,Diseased
30.8,45.3,45.4,97.5,43.2,5.9,Diseased
24.2,86.1,45.8,13.9,40.8,49.3,Diseased
20.5,52.7,38.3,91.1,11,29.4,Diseased
26.4,83.2,56.3,29.6,37.5,46.7,Diseased
23.8,45.7,66.7,49.8,36.3,29.4,Diseased
35.5,69.2,30.6,76.2,37.2,5.3,Diseased
38.2,71.4,45.6,86,56.8,38.8,Healthy
35.2,89.6,26.7,23.6,52.2,5.7,Diseased
32.2,78.6,66.5,73.1,60.5,22.6,Diseased
27.4,67.5,51.4,24.4,60.6,25.8,Diseased
26.3,86.5,25.2,30.5,37.3,23.5,Diseased
26,50.3,33,22.1,12.6,25.4,Diseased
30.1,56.6,57,58.6,44,21.6,Healthy
25.3,52.4,51.2,61,43.3,24.6,Healthy
36.4,76,51,66.3,37.5,14.3,Healthy
34.9,43,24.9,57.4,75.6,47.6,Diseased
29.8,44.3,53.1,96.8,78.9,30.6,Healthy
26.2,68.8,38.4,21.5,44.7,6.7,Diseased
25.2,60,62.6,61.4,63.8,26.4,Diseased
28.7,74.2,45.7,25.6,40,8.6,Diseased
23.1,75.4,40.4,82.9,50.6,30.6,Healthy
30.8,88,66.9,92.6,44.9,5.1,Diseased
40,41.3,60.6,98.9,10.8,7.9,Diseased
29.4,60.4,33.5,90.3,66.7,36.9,Healthy
36.8,72.3,23.7,30.6,53.1,7.5,Diseased
39.3,66,43.3,73.3,36.8,14.9,Healthy
27.5,44.6,69.2,61,15.8,8.9,Diseased
23.4,61,35.8,37.4,15,30.7,Diseased
36.4,45.7,69.3,51.4,26.1,35.6,Diseased
31,72.6,52.2,43.7,66.5,14,Healthy
38.5,70.3,52.9,73.7,56.1,32.4,Healthy
28.1,44,37,42.1,56.5,25.9,Healthy
32.7,75.7,61.3,76.6,13.9,40.8,Diseased
37.9,78.6,52.3,98.7,60.4,48.2,Healthy
24.9,48.7,67.2,73.7,45.8,40.9,Diseased
34.9,63.5,46.1,92.9,75.5,8.3,Diseased
26.1,63.4,63.2,35.7,78.2,39.6,Diseased
20.3,54.1,69.3,61.7,30.9,28,Diseased
24.1,53.1,34.6,20.1,35,9.4,Diseased
34.9,43.6,23.4,52.6,19.6,12.7,Diseased
29.2,82.3,69.6,95.6,59.9,26.3,Diseased
20.2,51.6,56.8,75.3,23.5,26.2,Healthy
22.1,51.1,39.7,68.3,75.9,28.6,Healthy
25.9,57.7,39.6,70.3,56.4,46.2,Healthy
26.8,85.8,48.6,77.3,20.8,6.1,Diseased
32.6,65.5,63.4,83.8,38.7,7.6,Diseased
39.9,85.5,54.3,18.8,17.6,35.5,Diseased
29.1,74.8,53.6,39.6,50.4,8.3,Diseased
22.6,68.9,54.3,40.3,68.5,22.2,Healthy
38.4,75,65.5,30.4,34.9,44.7,Diseased
29.3,72,67.9,16.3,40.9,42,Diseased
35.5,76,53.7,93.1,64.9,41.7,Healthy
31.1,84.3,66.8,91.6,40.6,47.8,Diseased
21.4,69.4,20.6,82.4,39.1,27.1,Diseased
36.8,62,41.3,61.9,63.7,48.3,Healthy
26.3,81.6,62,57.7,18.6,49.6,Diseased
27.4,47,43.9,89.8,78.2,25.4,Healthy
29,50,54.7,96.7,35.7,12.9,Healthy
36,80.8,37.4,53.5,39.2,37.4,Healthy
29.2,89.8,42.4,59.2,22.6,17,Healthy
30,64.3,63.8,16.6,46.8,5.9,Diseased
28.2,85.3,30,70.7,62.8,17.5,Healthy
20.9,61.4,61,82.6,60.1,14.6,Diseased
23,58.1,41.8,41,15.9,45.7,Diseased
26.6,55.9,24.7,49.7,78.8,40.6,Diseased
25,68.6,68.8,63.1,29,42.6,Diseased
26.7,54.4,54.3,91.9,32.4,10.6,Healthy
36.4,88.3,22.4,84.5,36.9,6.7,Diseased
22.7,62.7,23.9,55.5,57.8,11.1,Diseased
33.8,74.3,64.2,26.3,54.2,21.3,Diseased
38.1,85.1,53.4,53,51.6,49.7,Healthy
37.6,84.9,34.6,82.9,34.1,25.6,Healthy
20.2,72.4,23.4,17.1,44.9,31,Diseased
25.8,66.2,47.8,84,63.5,13.7,Healthy
22.1,44.4,40.4,13.8,39.1,43.5,Diseased
32.1,61,47,74.3,20.9,15.6,Healthy
22.2,44.5,43.1,82.9,45,5,Diseased
38.7,81.4,69,21.9,17.4,17.3,Diseased
23.5,83.8,37.6,84.3,53.2,14,Healthy
36.1,51.8,57.2,73.1,30.8,44.3,Healthy
25.6,84.9,69.1,60.2,17.3,39.8,Diseased
34.5,51.4,42.2,25.5,34.5,48.6,Diseased
26.2,84.1,30.9,36.8,15.5,5.6,Diseased
20.6,55.3,63.3,86.2,38.5,41.5,Diseased
30.3,76.1,41.8,53.8,61.2,23.6,Healthy
26.6,85.4,66.6,68.4,57.9,33.8,Diseased
39.9,83.7,28.6,56.3,57.7,40,Diseased
29.3,66.5,31.3,38.5,27.4,6.9,Diseased
36,81.1,37.7,39.8,35.9,47.3,Healthy
23.9,59.2,24.3,57.9,67.8,39.3,Diseased
20.3,59.4,47.1,50.2,78,15.7,Healthy
32.2,47.4,27.1,80.4,20.3,13.1,Diseased
33.1,89.4,44.4,97.9,12.6,5.9,Diseased
29.4,44.3,57.9,97.2,48.4,12.8,Healthy
36.1,57,31.8,19.1,23.6,25.4,Diseased
28.5,67.6,54.2,79.4,34.1,16.4,Healthy
34.3,42.6,32.7,14.6,45.8,33.2,Diseased
30.4,72.9,60.4,68.1,78.9,48.4,Diseased
36.6,40.3,42.8,96.5,59.4,13.4,Healthy
38.6,51.8,28.1,53.9,26.6,17.8,Diseased
37.6,83.9,45.2,67.8,69.8,33,Healthy
33.6,73,28.8,23.1,28.9,12.8,Diseased
39.8,62.3,27.6,14.1,25.5,49,Diseased
22.4,69.7,42.7,43.9,71.8,27.9,Healthy
30.1,51.4,36.1,21.8,37,19.3,Diseased
28,45.6,67.6,34.4,75.1,22.7,Diseased
37.2,69.6,33.3,68.2,24.2,21.9,Healthy
35.4,75.2,59.8,15.6,72.4,17.1,Diseased
26.6,42.6,42.3,89.3,71.6,44.9,Healthy
22.4,79.4,21.3,74.9,23.9,19,Diseased
23.9,75.6,30.5,36.6,72.9,29.6,Healthy
29.2,57,33.3,81.2,31.4,38,Healthy
20.8,70.8,67.3,73.5,67.1,11,Diseased
34.8,74.8,67.9,49.7,35.4,15.5,Diseased
24.9,88.9,45,17.4,72.6,16.8,Diseased
23.5,63.2,24.9,39.5,24.9,10.7,Diseased
20.4,66.1,65.2,69.1,79.7,21.4,Diseased
24.1,84.3,56,52.6,37.1,37.9,Healthy
29.3,86.8,24,99.8,12.3,19.8,Diseased
35.7,50.9,67.6,91.4,45.5,41.5,Diseased
24.9,43.1,21,15.2,20.9,16.2,Diseased
24.1,52.2,66.2,16.5,78.7,42.6,Diseased
38.7,58.8,54,24.4,60.2,48.2,Diseased
24,53.2,35.8,17.6,52.6,40.9,Diseased
32.5,88.3,26.8,85.5,10.6,46,Diseased
22.4,68.6,62.4,37.9,72.2,38.8,Diseased
22.7,61.7,65.9,58.7,76.2,40.2,Diseased
32.2,60.5,22.5,66,76.7,46.4,Diseased
28.2,68.5,67.3,34.8,32.7,17.2,Diseased
22.2,46,21.8,93.9,69.1,35.1,Diseased
38,47.2,38,61.9,75.5,22.5,Healthy
34.2,48,37,49.7,11.3,33.8,Diseased
21.5,60.1,50.7,69.8,51,41.1,Healthy
30.4,59.1,67.1,60.7,17.8,8.4,Diseased
36.4,69.5,60.8,18.2,56.7,43.8,Diseased
26,71.5,62.4,46.8,11.3,9.3,Diseased
28.7,81.7,61.2,52.9,40.5,28.2,Diseased
34.3,73.8,46.5,55.2,41.5,32.2,Healthy
35.2,52.8,25,79.5,48.4,12.5,Diseased
34.2,89.9,39.9,55.1,27.6,23.3,Healthy
30,58.4,68.4,95.6,17,13.2,Diseased
33.5,41,65.4,95.3,23.7,18.3,Diseased
38.1,53.6,40.6,21.9,66.2,43.7,Diseased
22,78.5,21.9,35.7,57.1,24.2,Diseased
27.6,70.1,58.7,89.8,18.7,9.2,Diseased
34.4,59.1,37.7,71.4,47.1,32.7,Healthy
36.1,64.5,52.9,67.5,69.1,25.2,Healthy
22.2,59.8,62.9,64.9,70.4,17.9,Diseased
34,72.5,33.9,98.6,65.8,23.7,Healthy
22.6,44.2,29,53.6,75.5,8.8,Diseased
23.9,47.9,30.2,95.3,11.3,13.1,Diseased
32.6,79.6,31.8,64.4,17.8,17.7,Diseased
36.7,41.5,68.8,75.5,61.9,26.6,Diseased
23.9,42,53.9,94.1,17.7,19.9,Diseased
35,64.4,63.1,39.8,43.5,46.3,Diseased
27.2,71.5,67.5,56.6,27.2,24.9,Diseased
27.7,44.7,32.9,42.4,69.7,10.8,Healthy
30.6,72.8,29.4,85.3,59.9,48.2,Diseased
39,80.1,46.8,99.1,29.3,21.4,Healthy
34.2,68.4,65.7,34.2,20.5,13.6,Diseased
29.2,73.9,57.4,27.5,63.8,8.1,Diseased
26.1,76.2,55.1,62,77.6,7.8,Diseased
27.2,73.4,40.3,11.8,18.8,34.2,Diseased
37.3,59.8,24.4,54.1,66.4,28.7,Diseased
34.3,82.8,36.3,69.2,31.2,35.1,Healthy
35.2,56.1,63.6,91,15.4,15.2,Diseased
28.3,54,67.7,75.5,26,17,Diseased
40,68.6,59.8,54.8,55.1,32.8,Healthy
36.3,53.6,22.5,23.5,18.3,11.4,Diseased
36.6,84.8,59.2,62,56.3,35.6,Healthy
20.6,66,30,14.9,43.5,45.2,Diseased
32.7,52.6,58.3,37.3,29.9,11.4,Healthy
38.3,73.6,44.6,28.9,33.4,19.2,Diseased
38.5,72.1,42.6,77.8,53.3,48,Healthy
30.5,78.3,68.8,22.3,73.8,20,Diseased
21.1,81.1,26.5,28.5,34.7,10.1,Diseased
23.9,64.7,57.8,21.1,44.3,17.5,Diseased
25.8,87.9,31.8,80.6,25.5,28.6,Healthy
37.7,79.6,39.1,79,33,5.9,Diseased
24.7,47.7,40.8,95.3,16.5,37.9,Diseased
38.9,84,44.2,29.6,40.6,20,Diseased
38.3,71.9,57.8,91,49.9,6.4,Diseased
32.9,48.5,40.6,94.8,70.7,42.3,Healthy
39,67.9,20.9,59.7,74,43.4,Diseased
22.1,86.3,55.1,79,42.4,35.3,Healthy
26.5,48.6,65.2,32.8,13.5,37.4,Diseased
21.5,74,34.1,91,65.3,30.7,Healthy
22.6,81.6,39.7,32.9,50.6,23.1,Healthy
28.8,80.3,49,95.7,64,45.1,Healthy
30,82.5,67.7,31.9,49.8,9,Diseased
39.8,49.9,47.9,28.2,33.8,11.8,Diseased
27.4,71.7,63.2,88.4,51.3,23.3,Diseased
30.6,43.8,53.6,41.2,40.2,22.6,Healthy
27,74.8,32.7,51.2,32.8,26.3,Healthy
38.8,64.7,52.2,49.4,52.9,7.4,Diseased
20.1,47.1,26.8,15.7,66.4,41.8,Diseased
35.7,81.5,35.8,74.4,18,22.6,Diseased
36,55.2,28.5,66.1,41,45.1,Diseased
24,88.8,53,35.9,48.3,33.1,Healthy
21.5,50.9,21.5,46,47,7,Diseased
37.3,54.9,25.6,57.7,16.7,45.5,Diseased
36,74.8,41.6,79.3,78.4,13.5,Healthy
29.4,57.8,56.9,51,22.4,33.5,Healthy
39.5,48.3,50.4,54.7,50.3,31.6,Healthy
33.1,58.9,64.5,48.6,76.1,26.9,Diseased
24.2,57,47.4,84.8,46.7,21.1,Healthy
21.5,73.3,36.1,77.3,19.3,41.3,Diseased
21.3,53.6,66,47.5,57.2,34.2,Diseased
31.9,48.6,22.7,55.4,45.9,20.7,Diseased
39.5,79.9,36.8,38.8,57.2,23.6,Healthy
39.7,41.5,66.5,44.3,12.3,46.7,Diseased
34,66.4,31.6,78.7,14.3,37.9,Diseased
26.7,57,38.7,94.1,14.2,46.4,Diseased
20.3,65.6,34.1,82.1,62,24.8,Healthy
28.5,65.7,38.6,19,46.1,27.7,Diseased
31.3,72.2,67.1,65.5,15.1,48.8,Diseased
25.6,47,28.1,23.6,72.1,16.6,Diseased
24.2,69.5,56.5,30.5,46.7,29.8,Healthy
31.2,42.9,43.2,33.1,66.1,36.9,Healthy
27.9,67.8,65,25.9,67.8,19.3,Diseased
25.8,56.2,38.9,46.8,33.3,48.9,Healthy
25.7,66.5,24.9,18.7,51.7,19,Diseased
33.4,59.4,42.5,77.7,72.7,21,Healthy
28.1,60.1,29.6,19.8,31.4,16,Diseased
24,83.4,47.5,24.5,35.9,36.4,Diseased
32.3,83.1,29.9,97.8,29.1,33.3,Diseased
35.5,87.8,23.5,17.7,77.9,23.5,Diseased
31.6,81.7,54.1,47,37.2,11,Healthy
35.4,45.5,26.3,62.7,58.7,24.2,Diseased
26.6,55.9,21.4,30.6,69.1,17.2,Diseased
25.4,71.2,26.4,17.4,68.5,40.4,Diseased
34,77.5,34.5,38.1,50.9,17.7,Healthy
21.1,47.1,27.4,40.3,15.4,19.1,Diseased
25.6,67.4,42.3,98.7,58.3,20.2,Healthy
30.5,86.4,40.4,91.9,72.3,37.3,Healthy
35.3,77.7,49,76.8,24.7,19.6,Healthy
30.2,78.7,26,34.7,74.3,33.7,Diseased
